company,website,city,state,bucket,band,priority,batch,rank,verification,scope,model,size,li_headcount,founded_inven,ownership_inven,dq_gate,verdict_reason,founded_verified,owner_verified,ownership_verified,confidence,source_list,inven_id,list_stage_note
LightSource Unlimited,http://lightsourceunlimited.com,Vernon Hills,,X9,Out of scope,P3,DQ (do not contact),,Not verified,Mixed,Weak,Mixed,14.0,1999.0,Private,,,,,,,S1/S2 (new 14 Aug),124484.0,"""Energy-efficient lighting upgrades and electric vehicle charging installations"" for manufacturing and healthcare; turn-key audit-to-install retrofits, no maint"
Poettker Industrial Services,http://poettkerindustrial.com,St. Louis,Missouri,X9,Out of scope,P3,DQ (do not contact),,Not verified,Mixed,Weak,Mixed,16.0,2021.0,Private,,,,,,,ElecInfra,35031283.0,"""General contracting and self-perform"" utility and industrial construction, founded 2021 with 16 heads: under the age bar, GC model."
Interconnect Utility Services,http://rpinterconnect.com,,,T3,1 Core,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Mixed,10.0,2023.0,Private,,"lowered - from P3 to Nurture. The trade and the customer channel are genuinely on-thesis (direct to co-ops, munis and public utilities, with maintenance and storm-response work on distribution, transmission and substations), but the company",[unknown] - not stated on their own site; Inven's 2023 is UNCONFIRMED and uncontradicted,"[unknown] - no founder, owner, principal or leadership name appears anywhere on the site; there is no leadership page, and the contact page (https://www.rpinterconnect.com/contact/) lists no named people, no direct phone and no email addres","independent private - INFERRED from the absence of any parent, sponsor or affiliate language on their own site; not positively confirmed",Medium,S1-S6 relevant (S2),38494535.0,"Overhead and underground T&D 'construction, maintenance, and emergency restoration' for utilities, cooperatives and municipalities — but founded 2023 with 10 he"
Dahl-Beck Electric,http://dahlbeckelectric.com,Richmond,,S7,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Strong,Mixed,16.0,1933.0,Family Owned,,"lowered - from P2 to Nurture: the model is genuinely the one we want (EASA-certified, 24/7, named service department, 93 years of continuity) but 22 named staff and a ~$8M revenue read put it under the $2M EBITDA floor.",1933 (Beck family; predecessor shop started by Charlie Dahl in 1900) - CONFIRMS founded_inven 1933,"Roger Beck, President (joined Dahl-Beck 1990); William Beck, Chairman - https://www.dahlbeckelectric.com/personnel.html. Third generation. Also named: Jim Ross CFO, Dan Neal Service Manager.","family owned, independent - ""third generation family owned and operated electric motor repair facility"" (https://www.dahlbeckelectric.com/). STRUCTURAL NOTE, not a gate: the Beck family runs sibling businesses - Beck Electric Supply (founde",Medium,S1-S6 relevant (S3),1517716.0,"Motor, generator and pump repair with 24/7 emergency, family-owned since 1933, maritime and mining customers; 16 LinkedIn staff sits at size floor."
Heco,http://hecoinc.com,Kalamazoo,,S7,2 Secondary,DQ,DQ (do not contact),,Verified,Strong,Strong,Mixed,192.0,1959.0,Family Owned,,"lowered from P2 — two reasons, either sufficient. (1) Size: 192 heads across four service centers puts it at or above the top of the box, and the brief is explicit that above the box there is no path upward. (2) It is the acquirer, not a su",[unknown] — no founding year published on hecoinc.com home or about pages; Inven's 1959 could not be confirmed from company materials,"Justin T. Hatfield, President (https://hecoinc.com/about/)","family owned (not PE-backed) — https://hecoinc.com/about/ describes the company as ""backed by family ownership"". No PE sponsor, recapitalization or investor name found anywhere on the site or in the news archive.",High,S1-S6 relevant (S3),433229.0,"""Electric motor repair"" with ""predictive maintenance"" and field service for manufacturers; family owned since 1959; 192 LinkedIn heads sits at top edge"
"Northline Utilities, LLC",http://northlineutilitiesllc.com,Au Sable Forks,,T3,1 Core,DQ,DQ (do not contact),,Verified,Strong,Mixed,Strong,139.0,2005.0,Private,,"lowered from P2 to DQ — the company's own site states 400+ employees, roughly 3x the LinkedIn count the list screen relied on, putting it far above the size box with no path upward; it is also an active acquirer with six affiliates.","2005 — ""Northline Utilities was founded in 2005 as a provider of construction services to the electric utilities industry in the Northeastern United States""; site badges read ""SINCE 2005"" and ""20 YEARS IN BUSINESS"". Confirms founded_inven 2","Jamie Atkins, President & CEO — the only named leader on the site.","independent private (LLC) on available evidence — no PE, sponsor or investor named anywhere on the site or in search. BUT it is itself a consolidator: it acquired Northern Line Construction in September 2025 and operates six affiliated enti",High,S1-S6 relevant (S2),3615129.0,"2005 utility contractor doing distribution, transmission and substation construction plus storm response for 'electric cooperatives and major utilities'; 139 st"
Harrison Electric INC,http://spina-enterprises.com,Michigan City,,S7,2 Secondary,DQ,DQ (do not contact),,Verified,Strong,Strong,Mixed,13.0,,Private,,"lowered from P2 — acquired by Spina Enterprises in late 2022 and now operating as the parent's Michigan City location. Caught exactly the way the brief predicts: the supplied 'company website' was the acquirer's domain, and Inven's own desc","Harrison Electric traces to 1962; acquired late 2022 — ""They were in business since 1962"" and the Michigan City location ""began as Harrison Electric, Inc."", ""initially owned by Lou Halter"" and purchased by ""Tom Walma"" in 1985","Gary Cox and Eric Sexton comprise the leadership team of the acquiring parent, Spina Enterprises (https://spina-enterprises.com/about-us/). Harrison Electric no longer has independent ownership.","ACQUIRED — Harrison Electric, Inc. was bought by Spina Enterprises in late 2022 and is now Spina's Michigan City, IN location. Parent's main facility is Warren, MI.",High,S1-S6 relevant (S3),2090473.0,AC/DC motor and generator repair with custom machine shop and 24/7 emergency for industrial customers; 13 LinkedIn staff straddles the floor.
Petro Guardian,http://petroguardian.com,Lacombe,,S10,2 Secondary,DQ,DQ (do not contact),,Verified,Strong,Strong,Mixed,17.0,,Private,,"lowered from P2 — TWO independent gates fire, both evidenced on the company's own website: (1) recently acquired, the installation and inspection assets were sold to ENRG Lightning Protection on 30 October 2025, under ten months ago; (2) th",[unknown] — no founding year found on the company's own site,[unknown] — no leadership named in retrieved materials,"DIVESTED — sold its lightning protection installation and inspection business to ENRG Lightning Protection effective October 30, 2025",High,S1-S6 relevant (S6),976332.0,"Lightning protection and 'inspection services for the oil and gas industry', engineered protection of oilfield assets, direct B2B; 17 staff at the edge."
Hmt,http://hmt-electric.com,Cicero,,T1,1 Core,DQ,DQ (do not contact),,Verified,Strong,Strong,Unknown,,,Private,,"lowered - from P2 to DQ: acquired 7 December 2017 by RESA Power, a Blue Sea Capital portfolio company, and hmt-electric.com 302-redirects to resapower.com. Sponsor-backed and no longer independent.","[unknown] - irrelevant, company no longer exists independently",RESA Power Holdings (operating company); ultimate sponsor Blue Sea Capital LLC,"PE-backed / acquired - ACQUIRED 7 DECEMBER 2017 by RESA Power Holdings, a Blue Sea Capital portfolio company",High,S1-S6 relevant (S1),40792684.0,"""Electrical testing, calibration, maintenance, and repair services for high and medium voltage equipment"" for industrial and commercial clients; no headcount or"
Specialty Engineering,http://specialtyengineering.net,Vancouver,,T1,1 Core,DQ,DQ (do not contact),,Verified,Strong,Strong,Unknown,,,Private,,"lowered from P2 — corporate subsidiary. Parent is Engineered Solutions Group; sister companies include Electric Power Systems, Electric Power Constructors, Mechanical Builders, Power Builders and Dryden & LaRue. A gate fires regardless of h",1981,[unknown] individually — the company is owned by Engineered Solutions Group; no independent principal (https://specialtyengineering.net/about/),"CORPORATE SUBSIDIARY — not independent. Their own about page: ""Specialty Engineering is part of a family of companies which includes: Engineered Solutions Group (our parent company), Electric Power Systems, Electric Power Constructors, Mech",High,S1-S6 relevant (S1),2947248.0,"""High voltage service provider specializing in testing, maintenance, and repair"" for utilities and manufacturing through ""field and shop services""; no headcount"
Volttek USA,http://volttekusa.com,McAllen,,T1,1 Core,Nurture,Nurture (below floor),,Verified,Strong,Strong,Unknown,,,Private,,"lowered from P2 — the service mix is right but the company is below the size floor on the only figure available, is confirmed NOT NETA accredited (own site plus directory absence), and discloses that it works as a Schneider Electric subcont","2012 (aggregator, LOW CONFIDENCE) — no founding year stated anywhere on the company's own site","[unknown] — no leadership named on the company's own site, and ZoomInfo lists 'N/A' for top executive","independent private (INFERRED — no parent, sponsor or affiliate language found anywhere; not positively confirmed)",Low,S1-S6 relevant (S1),31773328.0,"""Testing and maintenance of electrical distribution systems, switchgear, and transformers"" with ""preventive maintenance, emergency repairs, and start-up testing"
Stateline USA,http://statelineusa.com,Redford,,T3,1 Core,Nurture,Nurture (below floor),,Verified,Strong,Strong,Unknown,1.0,,Private,,"lowered - from P2 to Nurture: founded year (2009, so 17 years, age gate passed) and an on-thesis maintenance-and-inspection service mix both check out, but every available size read puts it under $5M revenue and therefore below the $2M EBIT",2009,"Ernest L. Coger Jr, Chief Executive Officer (25+ years utility industry experience, previously at Consumers Energy, Bay City Light and Power, and the City of Detroit's Public Lighting Department); Melanie Steele, Chief Operating Officer. So","independent private - no outside owner, parent or sponsor named on the site. Ownership form (family vs founder-held) not stated.",Medium,S1-S6 relevant (S2),2255479.0,"""Storm restoration, inspections, and street lighting maintenance"" on overhead and underground distribution ""primarily to utility companies and municipalities""; "
Complete Electric Service,http://completeelectricsrvc.com,Montebello,,S7,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Strong,Unknown,,,Family Owned,,"lowered from P2 — the trade and the end customers are right (chemical, paper, power generation, oil and gas, aerospace, direct), but it reads as a single-shop break-fix operation well below the $2M EBITDA floor, with no maintenance-programm",[unknown],"[unknown] for the operating business — no owner, president or staff name anywhere on their own site, including the Contact page. The only names found attach to the suspended 2013 entity at the same address: Robert Martinez (CEO) and Jose Co","independent private, family owned — 'Complete Electric Service is a family-owned business located in Montebello, California' (https://www.zoominfo.com/c/complete-electric-service/370688547, LOW CONFIDENCE). No parent or sponsor found on any",Medium,S1-S6 relevant (S3),54890909.0,"""Maintenance and repair of electric motors, generators, pumps"" plus machine shop and ""24/7 emergency support"" for manufacturing and aerospace; no headcount disc"
Larson Lightning Protection,http://larsonlightning.com,Enola,,S10,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Strong,Weak,10.0,1917.0,Private,,"lowered - from P2 to Nurture: 1917 founding, LPI master credentials and independent ownership all confirmed, but 10 employees puts it well below the $2M EBITDA floor and the recertification/inspection-interval recurring revenue the thesis h",1917 - CONFIRMS founded_inven 1917,"Al Adelmann - bought the company from Bruce Larson (the founder's grandson) in 2000 and ""leads the company today"", a 26-year tenure. Succession chain on their own site: Gus Larson (1917) to Wayne Larson (1966) to Bruce Larson (1977) to Al A","independent private, owner-operator - the 2000 change of hands was a founder-family sale to an individual, not a sponsor. No parent, portfolio or family-of-companies language.",Medium,S1-S6 relevant (S6),2806254.0,"""System design, installation, inspection, and maintenance"" of lightning protection for commercial and industrial clients; founded 1917, private; only 10 LinkedI"
Central Mass Signal,http://centralmasssignal.com,Northborough,,S8,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Strong,Unknown,,,Private,,"lowered (from P2) - not a knock on the business. This is precisely the model the thesis wants in the secondary band (traffic signal and street light MAINTENANCE, 24-hour emergency, IMSA Level 2 technicians, MassDOT approved) but FMCSA shows","2013 or earlier - INFERRED from the copyright line on their own site, ""(c) 2013 by Central Mass Signal, LLC"" (https://www.centralmasssignal.com/ and https://www.centralmasssignal.com/contact). That is a website copyright, not a founding sta","[unknown] - no owner, president, manager or any named individual appears on the homepage, services page or contact page. Legal entity is 'Central Mass Signal, LLC'.","independent private - INFERRED. Inven field says Private; no parent, sponsor or family-of-companies language anywhere on the site; no acquisition found.",Medium,S1-S6 relevant (S4),27486505.0,Traffic signal and street lighting 'installation and maintenance for municipalities' with '24-hour emergency services' — the direct municipal maintenance shape.
Delaware Electric,http://delawarelectricmotor.com,Easton,,S7,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Strong,Unknown,,,Private,,"lowered from P2 — right trade and a genuinely durable business (1946, repair and field service, up to 1500 HP), but the evidence points below the size floor and there is no contracted-maintenance model on the site to argue otherwise. Per th","1946 — CONFIRMED. ""Delaware Electric Inc was established in 1946 as an electric motor repair shop in Easton, PA."" Also ""quality industrial and commercial sales and service since 1946""","[unknown] — no leadership named on the site. Only a first name surfaces, from the contact address tim@delawareelectricmotor.com (https://www.delawarelectricmotor.com/contact.html).","independent private — INFERRED. Single location, single-domain email, no parent, no affiliates page, no investor language anywhere on the four-page site.",Medium,S1-S6 relevant (S3),27869270.0,"""Motor rewinds and emergency repairs"" for manufacturing and industrial customers, ""established in 1946""; no headcount published so size unverified."
TC Electric,http://tcelectric.us,Indianapolis,,S8,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Strong,Unknown,,,Private,,"lowered from P2 — on size, not on model. This is close to the standout secondary the thesis describes (direct agency signal maintenance, 24/7 response, INDOT prequalified, WBE/DBE, ~15 years old), but at roughly 14 people and $5.1M it sits ",2011 [LOW CONFIDENCE aggregator only],"Tina Eason, President and Christian Gustin, Company Owner (https://www.zoominfo.com/c/tc-electric-inc/410042702, LOW CONFIDENCE — not corroborated on their own site, which could not be read). The WBE certification is consistent with a femal",independent private — certified WBE and DBE with the Indiana Department of Transportation (https://www.zoominfo.com/c/tc-electric-inc/410042702; https://www.govintel.ai/companies/in/t-c-electric-inc-s11744400; https://trustanalytica.org/us/,Low,S1-S6 relevant (S4),31300976.0,"'Installation, repair, and maintenance of traffic signals, roadway lighting, and intelligent transportation systems' direct to Central Indiana government agenci"
"St Francis Electric, LLC",http://stfranciselectric.com,San Leandro,,S8,2 Secondary,DQ,DQ (do not contact),,Verified,Strong,Mixed,Mixed,55.0,1946.0,Private,,"lowered (from P2) - above the size box, which is a hard gate with no path upward. The list screen flagged 'above-box risk for a 1946 California signal contractor' as the key unknown and their own website answers it: four California yards an","1946 - CONFIRMED from their own site: ""St. Francis Electric has been a leader in the industry since its founding in 1946"" and ""over 75 years of experience"" (https://stfranciselectric.com/about/leadership and https://stfranciselectric.com/ab","[unknown] from primary sources - their own leadership page names nobody. ZoomInfo (AGGREGATOR, LOW CONFIDENCE) lists Robert Spinardi as President and Karla Brauer as CFO (https://www.zoominfo.com/c/st-francis-electric/348444409). Not confir","independent private - no parent, sponsor, ESOP or portfolio language found on their own site or in search; ZoomInfo lists it as Private. Ownership is not the problem here.",Medium,S1-S6 relevant (S4),7604644.0,"""Traffic signals, and street lighting"" plus underground electrical construction for California ""local governments and transportation agencies""; 1946, constructi"
Jasper Thompson Lightning Protection,http://jtlpinc.com,Kissimmee,,S10,2 Secondary,DQ,DQ (do not contact),,Verified,Strong,Mixed,Mixed,13.0,1991.0,Family Owned,,"lowered from P2 — this is a demotion on evidence, not on absence alone. Their own testimonials establish the book runs through construction primes on federal projects; the offer is design-engineering-installation with no inspection or recer","[unknown] — Inven's 1991 could NOT be confirmed from company materials; no founding year on jtlpinc.com or on the LPI directory listing. Site copyright reads ""©2018 by Jasper Thompson Lightning Protection, Inc.""","[unknown] — no leadership or ownership names published anywhere on the site; the only contact address is estimating@jtlpinc.com and the mailing address is a PO Box (P.O. Box 422941, Kissimmee, FL 34742)","independent private — INFERRED. No parent, affiliates page or investor language found; nothing to contradict independence.",Medium,S1-S6 relevant (S6),3227852.0,"Family-owned since 1991, lightning protection 'design, engineering, and installation' for government, medical and entertainment sites; 13 staff, no recertificat"
Corbin Electrical Services,http://corbinelectric.com,District Heights,,S7,2 Secondary,DQ,DQ (do not contact),,Verified,Mixed,Mixed,Strong,33.0,,Family Owned,,"lowered from P2 to DQ — the residential electrical exclusion fires on the company's own materials. Residential is the leading category on both the homepage and the About page (custom residential design, remodeling, pool and landscape lighti","~1980, INFERRED from the company's own wording: ""For more than 45 years, Corbin Electrical Services, Inc., has proudly served communities throughout New Jersey."" 45+ years, 10+ confirmed. (founded_inven was null.)","Adam Corbin, owner — described as a licensed Journeyman and Master Electrician with 30+ years of field experience; the company describes itself as ""a family-owned business"".","independent private, family owned — confirmed on the company's own About page, with no parent company or acquisition disclosed.",High,S1-S6 relevant (S5),238919.0,"45+ years family-owned, 'generator installation, maintenance, and EV charger installations'; 33 staff sits in the box, but residential and commercial customer m"
Gulf South Armature Inc,http://gulfsoutharmature.com,Houma,,S7,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Mixed,16.0,,Family Owned,,"lowered from P2 — the model is genuinely the one the thesis wants in the motor/generator secondary band (in-field PM winding analysis, 24 hour service, offshore field capability, vibration analysis, dyno to 3.5MW, 35 years independent), but",1991 — CONFIRMED from company materials,"[unknown] — no owner, founder or leadership named anywhere on the site, including the About Us page","independent private, family owned per the Inven field. No parent, sponsor, holding company or acquisition language found on the site or in search.",Medium,S1-S6 relevant (S3),1356567.0,"Motor/generator 'rewinding, remanufacturing, and extensive field service' for industrial and marine, 34 years, family owned; 16 LinkedIn heads sits at floor."
H. Richardson & Sons,http://hrsutilities.com,Ogdensburg,,T3,1 Core,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Unknown,,,Private,,"lowered - from P2 to Nurture: the trade is core-thesis (high-voltage overhead and underground T&D with emergency storm restoration) and no gate fired, but every available size read puts it below the floor, and its own website was unreachabl","2010 per ZoomInfo (AGGREGATOR, LOW CONFIDENCE) - NOT confirmed from company materials. If 2010 is right the company is 16 years old and clears the age gate, but this rests on a single low-confidence source.","[unknown] with a partial read: Cheryl Richardson appears as a company contact with an @hrsutilities.com email address on ConstructConnect (https://projects.constructconnect.com/companies/1639852-h-richardson-sons-llc), and the business is d","independent private, apparently woman-owned - INFERRED from the ZoomInfo description ""a woman-owned and operated business specializing in professional high-voltage line contracting services"" (LOW CONFIDENCE) plus the Richardson surname on t",Low,S1-S6 relevant (S2),46811450.0,"""High-voltage line contracting"" - ""overhead and underground electrical transmission and distribution, along with emergency restoration services"" for utilities; "
ALBD Electric & Cable,http://albdinc.com,La Habra,,T5,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Mixed,Strong,107.0,2002.0,Private,,"lowered from P2 — reading their own site kills it. Tenant Improvements is a named service line and fires the commercial fit-out gate outright, the rest of the offer is ground-up, tilt-up shell and design-build new construction, the only cus","2006 — from their own site: ""Since 2006, ALBD has provided the highest-quality electrical installation and maintenance"" (https://albdinc.com/). This CONTRADICTS Inven's 2002; per the brief the site wins, so 2006 stands. Either way the compa","James Black, Co-Founder & Chief Financial Officer; Chad Lambert, Co-Founder & President. Also Rusty Espinoza (General Manager), Garrett Abrahamson (Director of Project Management), Addison Vaught (Controller), Lilly Lefeber (HR Manager). (h","independent private, founder-led — no parent, investor or family-of-companies language found. Note one ambiguous culture line from Chad Lambert: ""The employees. They own the company. It's about them. I just try to guide it."" — read as rheto",High,S1-S6 relevant (S5),676893.0,"""Commercial electrical contractor"" doing ""installation and maintenance for industrial and commercial projects""; 107 employees, private, founded 2002, SoCal and "
Construction Management & Maintenance,http://cmmsystemsar.com,North Little Rock,,S8,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Unknown,,,Family Owned,,"lowered from P2 — a confirmed transaction price of just over $1M for the whole business in 2019 puts it far below the size floor, the service list is installation and upgrade work with no maintenance contract evidence despite 'Maintenance' ","1978 — CONFIRMED from company materials, corroborated independently","Kameron Vick and Jessica Vick of Conway, Arkansas — bought the business on 3 January 2019 from Jim and Jeanne Erwin of North Little Rock. Source: https://cbicentralarkansas.com/sold-construction-management-maintenance/. NOTE: the Vicks are ","independent private, family owned — but ownership CHANGED HANDS on 3 January 2019 (Erwin family to the Vick family). Not PE, not sponsor-backed, no strategic parent: this was an individual-buyer succession sale brokered by CBI Central Arkan",Medium,S1-S6 relevant (S4),27616763.0,"Arkansas traffic signal, roadway lighting and ITS firm providing 'installation, maintenance, and repair' to municipalities and contractors; family-owned."
Hart & Associates Inc.,http://hart-assoc.com,Peoria,,S10,2 Secondary,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Unknown,,,Private,,"lowered from P2 — 61 years and an LPI listing are real, but the company appears to be a sub-10-person shop under $5M revenue working as a specialty subcontractor on large GC-run projects. Below the floor with a partially right model is Nurt",1965 [LOW CONFIDENCE aggregator only],"[unknown] — no owner or president name found. The only named individual is 'Justin Hart, Project Manager' (https://www.zoominfo.com/c/hart--associates-inc/1152850066, LOW CONFIDENCE), which at least indicates the Hart family name is still i","independent private — described as a 'minority and veteran-owned business' operating across Arizona, New Mexico, Texas and California (https://www.zoominfo.com/c/hart--associates-inc/1152850066, LOW CONFIDENCE). No parent, sponsor or affili",Low,S1-S6 relevant (S6),46502752.0,"'Design, installation, and testing services' for lightning protection and grounding to commercial and government sectors, 'operational since 1965'; no headcount"
"4Lp, LLC",http://4lp.com,Lacombe,,S10,2 Secondary,DQ,DQ (do not contact),,Verified,Strong,Mixed,Mixed,12.0,1996.0,Private,,"lowered from P3 — residential is a declared market with its own service line and consumer lead-gen listings, which fires the residential gate; and the recertification/inspection interval that would have made a small lightning protection sho","[unknown] as a stated year — the site claims only ""Over 25 years of experience serving business and residential consumers"" (https://4lp.com/), which is consistent with Inven's 1996 but does not confirm it. No founding year published.",[unknown] — no leadership or ownership names on the site; general contact is sales@4lp.com,"independent private — INFERRED. No parent, affiliates page or investor language found.",Medium,S1-S6 relevant (S6),1211361.0,"'Design and installation of lightning protection systems, surge suppression, grounding, and bonding' for residential and commercial clients, 25+ years; install-"
Guardian Manufacturing,http://guardianmfg.com,Cocoa,,T4,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Weak,Strong,45.0,1993.0,Private,,"lowered from P3 — GATE FIRED. This is an equipment/controls manufacturer and build-to-print system integrator ('precision manufacturing... under one roof', 'most work performed in-house'), delivering discrete capital projects from design to",1993 — confirms the supplied founded_inven of 1993,"[unknown] — the site says only that 'Guardian was founded by aerospace and automotive engineers'; no individual names, titles or email addresses on the About (https://www.guardianmfg.com/about/) or Contact (https://www.guardianmfg.com/conta","independent private — no parent, affiliate, family-of-companies or PE reference on the site or in search",High,S1/S2 (new 14 Aug),97434.0,"""Automation and control system integration"" doing ""systems design, control system fabrication, and project execution"" for aerospace; lumpy capital projects, no "
Imperial Lighting,http://imperiallighting.com,Chicago,,T5,1 Core,Nurture,Nurture (below floor),,Verified,Weak,Mixed,Strong,33.0,1973.0,Family Owned,,"lowered from P3 — the revenue model is genuinely the right shape (recurring lighting maintenance, direct commercial end customers, national accounts, family owned since 1973, third generation, 25-year average technician tenure) but scope si","1973, by Leon and Cary Mendelsohn, with a predecessor company dating to 1955 — confirms the supplied founded_inven of 1973. (The site elsewhere says 'over 45 years', a stale-copy inconsistency; 1973 is the stated incorporation.)","Cary Mendelsohn, Chief Executive and owner of a 'closely-held family business'; third-generation directors Scott Mendelsohn, Todd Mendelsohn and Lisa Orloff (https://www.imperiallighting.com/about-us/)","family owned, independent — 'family-owned and operated', 'third generation', 'family-run lighting service company', 'closely-held family business' (https://www.imperiallighting.com/about-us/)",Medium,S1/S2 (new 14 Aug),1015118.0,"'Interior and exterior lighting maintenance', LED upgrades and electrical services for Chicago-area businesses since 1973; 33 staff, family owned, lighting-only"
Teays Valley Engineering,http://teaysvalleyeng.com,Saint Albans,,T4,1 Core,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Weak,12.0,,Private,,"lowered from P3 to Nurture - the company publishes its own headcount at 23, putting it below the size floor, while the maintenance/inspection/testing programme model is the right shape and worth logging as a future add-on","[unknown] - no founding year published. Own site records that 'Raptor Energy Systems, initially a sister company to TVE, merged with us in 2019'",[unknown] - no owner or leadership names published on the site; described only as 'a privately owned company',independent private - own site: 'privately owned engineering firm' registered with the WV State Board of Professional Engineers,Medium,FromPete,1489564.0,"Electrical engineering, contracting, panel fabrication, field services and training for mining, oil and gas and power generation; 12 staff and engineering-led."
Jolma Utilities,http://jolmautilities.com,Ashland,Wisconsin,T3,1 Core,DQ,DQ (do not contact),,Verified,Strong,Mixed,Weak,15.0,2022.0,Private,,"lowered from P3 to DQ - corporate-subsidiary gate fires on the company's own words ('starting as a subsidiary of Jolma Electric'), compounded by a shared-brand structure with Superior Power Testing and a 2022 entity date","Jolma Utilities entity 2022 (supplied list, unconfirmed); own site gives NO founding year for Jolma Utilities and instead dates the predecessor: 'Jolma Electric was established in 1985 by Keith Jolma'","Ryan Jolma - Owner/Sales, listed first on the Jolma Utilities team page; Jeff Jolma purchased the parent Jolma Electric in 2016",SUBSIDIARY / division inside the Jolma family of companies - not an independent company,High,ElecInfra,33257663.0,"""Power distribution... construction, testing, and engineering"" for ""private utilities and cooperatives,"" but founded 2022 — under five years is a strong negativ"
Powercon LLC,http://powerconllc.com,Eastman,,T4,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Unknown,Mixed,21.0,2002.0,Private,,"lowered - from P3. Reading their own site rather than the Inven summary shows this is an industrial automation integrator and UL 508A panel shop, not an electrical infrastructure services company. Weak on scope (none of the thesis assets - ","2002 - CONFIRMED, matches founded_inven","[unknown] - no leadership, founder or ownership names appear anywhere on the site (homepage, services, about)","independent private (INFERRED - no parent, investor or family-of-companies reference found on the site or in search)",Medium,S1/S2 (new 14 Aug),2872289.0,"""Automation services and electrical contractor"" serving ""automotive and military"" plants; 21 employees since 2002; no maintenance, testing or service-agreement "
"Arc Power Services, LLC",http://arcpowersvc.com,Midland,Texas,T3,1 Core,DQ,DQ (do not contact),,Verified,Strong,Mixed,Weak,5.0,,Private,,"lowered - killed structurally. Arc Power Services' own About page confirms it acquired ARC Electric in February 2023 and operates it as a subsidiary, so this is a consolidation vehicle holding a recently acquired operating company, not a fo","[unknown] for Arc Power Services itself. Its own About page states it acquired ARC Electric, 'a locally owned electrical contractor with over 30 years of experience', in February 2023 - the 30-year history belongs to the acquired company, n","[unknown]. Michael Brown is listed as Chief Operating Officer on LinkedIn (https://www.linkedin.com/in/michael-brown-73b58b41/) - low confidence, and a COO title is not an ownership statement. No leadership or ownership page exists on the c","holding/acquiring entity - Arc Power Services acquired ARC Electric in February 2023 and describes it as a subsidiary, per its own About page (https://arcpowersvc.com/about/). Who owns Arc Power Services itself is [unknown]; no PE sponsor w",Medium,ElecInfra,35154809.0,"'Generator installations, powerline construction' with 24/7 troubleshooting for West Texas utility and energy companies; 5 LinkedIn employees far below the size"
B&B Electric,http://bb-electric.com,Ashland,,T5,1 Core,DQ,DQ (do not contact),,Verified,Mixed,Mixed,Mixed,32.0,1981.0,Family Owned,,"lowered (from P3) — two exclusion gates fire on its own materials: advertised residential wiring for home builders, and a commercial fit-out/tenant-upfit heritage with no MV, substation, utility or testing work of any kind.",1981 — 'B&B Electric was founded in April 1981 as T.E. Blackstone Co.'; renamed B&B Building Systems Inc. (trading as B&B Electric) in 1996,"James Ott, President; Chip Blackstone, Chief Operating Officer; Jon Blackstone, Chief Financial Officer (https://www.bb-electric.com/leadership). Tom Blackstone listed as 'Owner, B&B Electric' on LinkedIn (https://www.linkedin.com/in/tom-bl",independent private / family owned — 'family owned and operated' on own site; no parent or investor found.,High,S1/S2 (new 14 Aug),431329.0,"32 employees since 1981, 'construction and maintenance services' for 'commercial businesses, government entities, and residential customers'; no MV, industrial "
Pole Line Contractors,http://polelinecontractorsinc.com,Choctaw,Oklahoma,T3,1 Core,Nurture,Nurture (below floor),,Verified,Strong,Mixed,Weak,7.0,,Private,,"lowered (from P3) — this is the model Olsen wants (MV/HV maintenance and troubleshooting with on-call emergency, direct to mine-site owners) but it is well below the size floor, which is Nurture by rule, not a DQ.","2003 (23 years) — founded_inven was null, now filled from own site","Spencer Porter, Owner/Manager, stated 32+ years industry experience (https://www.polelinecontractorsinc.com/)","independent private — owner-managed by Spencer Porter; no parent, investor or affiliate disclosed on own site.",Medium,ElecInfra,339731.0,"'Power line construction and maintenance' direct for mining and utility clients, but 7 LinkedIn employees points below the size floor."
